Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
OKR_Q19_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CW1000;*|intro_field1_response|*;;;
OKR_Q19_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CX1000;*|intro_field1_response|*;;;
OKR_Q19_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CY1000;*|intro_field1_response|*;;;
OKR_Q19_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CZ1000;*|intro_field1_response|*;;;
OKR_Q20_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DA1000;*|intro_field1_response|*;;;
OKR_Q20_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DB1000;*|intro_field1_response|*;;;
OKR_Q20_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DC1000;*|intro_field1_response|*;;;
OKR_Q20_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DD1000;*|intro_field1_response|*;;;
OKR_Q20_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DE1000;*|intro_field1_response|*;;;
OKR_Q20_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DF1000;*|intro_field1_response|*;;;
OKR_Q21_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DG1000;*|intro_field1_response|*;;;
OKR_Q21_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DH1000;*|intro_field1_response|*;;;
OKR_Q21_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DI1000;*|intro_field1_response|*;;;
OKR_Q21_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DJ1000;*|intro_field1_response|*;;;
OKR_Q21_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DK1000;*|intro_field1_response|*;;;
OKR_Q21_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DL1000;*|intro_field1_response|*;;;
OKR_Q22_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DM1000;*|intro_field1_response|*;;;
OKR_Q22_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DN1000;*|intro_field1_response|*;;;
OKR_Q22_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DO1000;*|intro_field1_response|*;;;
OKR_Q22_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DP1000;*|intro_field1_response|*;;;
OKR_Q22_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DQ1000;*|intro_field1_response|*;;;
OKR_Q22_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DR1000;*|intro_field1_response|*;;;
OKR_Q23_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DS1000;*|intro_field1_response|*;;;
OKR_Q23_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DT1000;*|intro_field1_response|*;;;
OKR_Q23_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DU1000;*|intro_field1_response|*;;;
OKR_Q23_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DV1000;*|intro_field1_response|*;;;
OKR_Q23_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DW1000;*|intro_field1_response|*;;;
OKR_Q23_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DX1000;*|intro_field1_response|*;;;
OKR_Q24_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DY1000;*|intro_field1_response|*;;;
OKR_Q24_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:DZ1000;*|intro_field1_response|*;;;
OKR_Q24_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:EA1000;*|intro_field1_response|*;;;
OKR_Q24_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:EB1000;*|intro_field1_response|*;;;
OKR_Q24_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:EC1000;*|intro_field1_response|*;;;
